Code,New code,Area name,Inner/ Outer London,GLA Population Estimate 2015,GLA Household Estimate 2015,Inland Area (Hectares),Population density (per hectare) 2015,"Average Age, 2015","Proportion of population aged 0-15, 2015","Proportion of population of working-age, 2015","Proportion of population aged 65 and over, 2015",Net internal migration (2014),Net international migration (2014),Net natural change (2014),% of resident population born abroad (2014),Largest migrant population by country of birth (2011),% of largest migrant population (2011),Second largest migrant population by country of birth (2011),% of second largest migrant population (2011),Third largest migrant population by country of birth (2011),% of third largest migrant population (2011),% of population from BAME groups (2013),% people aged 3+ whose main language is not English (2011 Census),"Overseas nationals entering the UK (NINo), (2014/15)","New migrant (NINo) rates, (2014/15)",Largest migrant population arrived during 2014/15,Second largest migrant population arrived during 2014/15,Third largest migrant population arrived during 2014/15,Employment rate (%) (2014),Male employment rate (2014),Female employment rate (2014),Unemployment rate (2014),Youth Unemployment (claimant) rate 18-24 (Dec-14),Proportion of 16-18 year olds who are NEET (%) (2014),Proportion of the working-age population who claim out-of-work benefits (%) (May-2014),% working-age with a disability (2014),Proportion of working age people with no qualifications (%) 2014,Proportion of working age with degree or equivalent and above (%) 2014,"Gross Annual Pay, (2014)",Gross Annual Pay - Male (2014),Gross Annual Pay - Female (2014),Modelled Household median income estimates 2012/13,% adults that volunteered in past 12 months (2010/11 to 2012/13),Number of jobs by workplace (2013),% of employment that is in public sector (2013),"Jobs Density, 2013","Number of active businesses, 2013",Two-year business survival rates (started in 2011),Crime rates per thousand population 2014/15,Fires per thousand population (2014),Ambulance incidents per hundred population (2014),"Median House Price, 2014","Average Band D Council Tax charge (£), 2015/16",New Homes (net) 2013/14,"Homes Owned outright, (2014) %","Being bought with mortgage or loan, (2014) %","Rented from Local Authority or Housing Association, (2014) %","Rented from Private landlord, (2014) %","% of area that is Greenspace, 2005",Total carbon emissions (2013),"Household Waste Recycling Rate, 2013/14","Number of cars, (2011 Census)","Number of cars per household, (2011 Census)","% of adults who cycle at least once per month, 2013/14","Average Public Transport Accessibility score, 2014","Achievement of 5 or more A*- C grades at GCSE or equivalent including English and Maths, 2013/14",Rates of Children Looked After (2014),% of pupils whose first language is not English (2014),% children living in out-of-work households (2014),"Male life expectancy, (2011-13)","Female life expectancy, (2011-13)",Teenage conception rate (2013),Life satisfaction score 2011-14 (out of 10),Worthwhileness score 2011-14 (out of 10),Happiness score 2011-14 (out of 10),Anxiety score 2011-14 (out of 10),Childhood Obesity Prevalance (%) 2013/14,People aged 17+ with diabetes (%),Mortality rate from causes considered preventable,Political control in council,Proportion of seats won by Conservatives in 2014 election,Proportion of seats won by Labour in 2014 election,Proportion of seats won by Lib Dems in 2014 election,Turnout at 2014 local elections
E09000011,E09000011,Greenwich,Outer London,273000,107210,4733.386699999999,57.675406068133,34.91362805030942,21.761658031088082,67.61658031088082,10.621761658031089,-1262.0,2793.0,2895.0,32.90461642269413,Nigeria,5.112018133463232,Nepal,1.9064492431950408,India,1.7155293313481854,39.598293623158625,16.863970207923863,7184,39.509431886927345,Romania,Nigeria,Bulgaria,66.74435762433349,72.08715291616846,61.29698611581442,10.492606539977027,6.163990825688073,5,13.9,20.450684577047262,10.539141710542495,40.705031467632494,30800,32969,28479,44370.0,17.412374081894324,83400,27.30923694779116,0.46639078402863215,8320,73.3,79.37638253386261,2.544023979018359,11.890970400899214,317000,1276.04,1110,19.242220956091824,26.894447609770445,34.15243801576945,19.710893418368286,34.4,1004.4570845514909,38.830951108793286,78185,0.7737641644811718,11.606152443330885,3.4434088511348016,58.8,85,38.71869718850822,19.44809013277881,78.7,82.8,24.5,7.2,7.55,7.2,3.4,25.4133,6.1311738295813,196.108948104396,Lab,15.686274509803921,84.31372549019608,0,37.25432930181418
E09000012,E09000012,Hackney,Inner London,265300,108730,1904.9024999999997,139.27221996926355,32.79462716650953,20.535041446872647,72.23059532780708,7.234363225320271,-226.0,2592.0,3405.0,38.88679940436898,Turkey,3.6472164697283467,Nigeria,2.717342753888009,Jamaica,1.8045234904779308,45.74297705194,24.0877220683563,9424,49.650695973783755,Italy,Spain,France,68.18346627991299,70.58728656831964,65.8187010789084,8.39983377823481,6.285973947288701,3,15.1,17.191204651011724,9.345020879575637,48.46050078735079,32269,32921,31757,42690.0,29.63917550085033,123300,13.548387096774192,0.6647652834013554,14180,75.4,99.64682433298753,2.660550458715596,11.453363914373089,433000,1293.45,1130,11.077852483327723,19.75471509284616,45.435025884108335,23.272042433561086,23.2,877.7841550386127,25.441844028095993,41800,0.41105320090471037,24.108132241177856,4.916681944525086,60.6,56,50.94158835452368,21.663698617562282,78.2,83.2,24,7.03,7.31,6.99,3.76,26.078971533516988,5.77477024624916,225.165805499335,Lab,7.017543859649122,87.71929824561403,5.263157894736842,39.39257245963045
E09000013,E09000013,Hammersmith and Fulham,Inner London,181700,80630,1639.7452999999998,110.80989224363077,35.40562555507155,17.226197028068242,72.8673637864612,9.906439185470555,-3248.0,1277.0,1681.0,41.52506829594532,France,2.7272278936726337,Ireland,2.6696914402196246,Australia,2.521192593688525,33.45487895161379,22.687384590758114,10114,78.14926710915708,Italy,Spain,France,76.00267997412439,84.11480534242682,68.27695083446098,5.3460988429322285,3.6026515515419346,2.5,11.6,13.238630141272548,4.96351944599023,67.00519384158783,36823,39170,32740,62910.0,30.481890364872587,141500,16.70498084291188,1.081738119992661,12850,73.0,113.22718750874444,1.9955654101995566,12.20620842572062,661000,1022.81,630,19.089270375881632,21.837912387035892,25.936679611415574,33.1361376256669,19.1,971.336623467994,20.53495085121528,43843,0.544025313314307,24.033719578204565,4.669039272607919,60.5,60,45.33041027247103,17.830609212481427,79.1,83.5,21.3,7.41,7.53,7.16,3.09,22.449,4.41130118240843,208.574267996514,Lab,43.47826086956522,56.52173913043478,0,37.6267577586471
E09000014,E09000014,Haringey,Inner London,271000,109030,2959.8387,91.55904340327736,34.764121775473576,19.74169741697417,71.07011070110701,9.22509225092251,-4412.0,5559.0,3006.0,39.62773839104566,Poland,4.2620211355452176,Turkey,3.9603649686575713,Jamaica,2.026078156013902,40.0025087330518,29.71489518808713,17549,92.73262419217619,Romania,Bulgaria,Italy,67.82394692343317,74.83725427006122,60.77383266381582,8.220050977060323,7.072595723924884,3.5000000000000004,14.0,16.134936378681104,11.89134471204075,45.952222420709035,30684,31660,30327,45860.0,29.848951257837737,82900,17.511520737327192,0.4441372807440505,11020,73.60000000000001,90.21360284905045,2.091893911094509,12.290250280164363,405000,1479.32,470,17.951294586275573,24.74741988049973,33.35687126561651,23.94441426760818,25.5,891.612130840036,35.8140939215322,61515,0.6033544210681183,15.227888114039171,4.308367796684827,59.7,87,52.2827156444736,19.459822177487,80.1,84.7,20.9,7.24,7.5,7.19,3.18,22.8438,5.89087570948652,179.818937139665,Lab,0,84.21052631578947,15.789473684210526,38.10392411482491
E09000015,E09000015,Harrow,Outer London,249800,88720,5046.2744,49.501866168831405,37.93726802711351,20.72829131652661,64.42577030812325,14.80592236894758,-2606.0,3030.0,2182.0,50.67168167224872,India,9.010022756174285,Kenya,4.896760591660532,Sri Lanka,4.3470985877785955,60.20978821883376,28.486298921525034,11239,70.54710254092599,Romania,Poland,India,72.6854825505976,84.34300930752515,60.96553814292389,4.984487617724377,4.322625012280184,1.5,9.0,11.96068758775092,3.653606377753429,52.01634740116623,31308,34497,27499,49060.0,38.877607190911114,78500,15.481171548117153,0.49577799250964716,12970,75.10000000000001,50.39610144141479,1.3406237343053868,9.837181044957473,370000,1529.36,300,33.49711662939861,32.75273625985642,8.91098819191087,24.606723941783372,34.6,837.6993419368702,49.15304255444726,100326,1.1905586936915555,5.133208270428863,2.8701959962968693,66.4,30,60.2145998240985,10.547014658562746,82.4,85.9,14.3,7.33,7.42,7.31,2.71,20.7968,8.45795437016747,132.138268067204,Lab,41.269841269841265,53.96825396825397,1.5873015873015872,40.68432295298918
E09000016,E09000016,Havering,Outer London,247700,100110,11234.9666,22.047239552986298,40.323984928350654,19.336569579288028,62.055016181229774,18.567961165048544,2244.0,673.0,977.0,11.863192506149629,Ireland,1.055085317326499,India,0.9699366021447359,Nigeria,0.9446449045659946,13.600234166934639,4.566008747042853,2459,16.048818692076754,Romania,Lithuania,Bulgaria,75.85187510628,86.56825371076324,65.80761238659977,6.882629181595101,3.7539988248351506,4,10.9,16.991805830645003,8.685729275970619,25.65844700944386,31087,34149,28527,44430.0,16.93825794532388,90300,22.07792207792208,0.5963190670215084,8865,75.10000000000001,62.92547918043621,2.532679738562092,12.917075163398692,250000,1514,160,35.15473014981649,33.88219249513648,17.20984336455346,13.753233990493571,59.3,1161.2066312322656,31.513800183226927,117634,1.210238788464902,9.188034188034187,2.5045691880487477,59.8,40,11.08833283087127,15.32688883235818,79.8,83.8,26.2,7.39,7.65,7.21,3.28,20.6148,5.90837148384245,162.468614915716,No Overall Control,40.74074074074074,1.8518518518518516,0,43.067141729427576
E09000017,E09000017,Hillingdon,Outer London,296500,106600,11570.113700000002,25.62636873654923,36.21943742188634,21.17329737019555,65.7788267026298,13.01416048550236,-800.0,3970.0,2636.0,33.13743140845896,India,5.700966649144325,Pakistan,1.7613603177384498,Ireland,1.5781058349395478,42.39584057870209,18.762238109233596,6554,34.10557428916365,Romania,India,Poland,71.89056287926344,80.46824854001157,63.41014304291287,6.504450413440775,3.2334697109674013,2.4,10.0,14.892489479814886,9.454900848072132,39.82576163603308,31229,33399,28211,44950.0,23.755727541237864,213000,11.5,1.1293803254524148,11630,76.60000000000001,76.61973598878686,2.5530458590006844,14.708076659822039,307000,1407.93,550,22.238195585398955,32.9630687906279,16.5529680691478,28.245767554825346,49.2,1998.439356140752,43.148652676485476,122486,1.2222443969904404,13.310146626153482,2.3630936504441853,62,55,41.032561594651476,14.345352267049211,80.4,83.7,23,7.37,7.68,7.28,3.47,19.835,6.36347348139505,169.310039137858,Cons,64.61538461538461,35.38461538461539,0,36.06353041568988
E09000018,E09000018,Hounslow,Outer London,271800,101290,5597.7912,48.55486571203299,35.4448670821395,20.897718910963945,68.06475349521706,11.074319352465048,-3678.0,3607.0,2990.0,47.8463608727758,India,10.74512614340223,Poland,4.077461932531885,Pakistan,2.776454281630355,50.158361366637784,28.730168579997933,11132,61.70731707317073,Romania,Poland,India,73.80970572825707,84.77636658887802,62.509834339852624,7.0964904096077195,4.942472856911359,3.2,10.4,14.754518861334265,8.989150366748166,49.90722144603563,30158,33300,27000,44490.0,26.925268234981242,166900,11.994421199442119,0.9315331506359988,12230,75.9,79.15566276814262,2.1166791323859386,12.13238593866866,319950,1374.77,690,25.456089030793507,27.004530899628115,19.189421133739977,28.349958935838398,39.6,1420.6799457738757,35.13935829991207,94042,0.9909380202735454,15.292781930712968,3.0305229261894113,63.2,53,57.86232420429312,15.156418554476808,79.7,83.4,28.3,7.31,7.62,7.4,3.39,23.9085,6.48016977266758,179.05539381869,Lab,18.333333333333332,81.66666666666667,0,36.80620074116604
E09000019,E09000019,Islington,Inner London,224600,99590,1485.6655999999998,151.1780309108591,34.58113318008463,16.028495102404275,75.1113089937667,8.81567230632235,-1067.0,4620.0,1826.0,36.75194844537468,Ireland,2.754639175257732,Turkey,1.8323832625833838,United States,1.524317768344451,32.68999184822884,19.85748050940135,9435,56.786378491594895,Italy,France,Spain,68.68825517194685,75.04107930467872,62.38070704840412,6.962958163942923,6.503189462347776,5.2,14.7,16.56003199040288,8.80963992271271,58.8272332755119,36449,38543,34023,54950.0,31.128637112166235,220300,16.347075743048897,1.3609939024013542,16850,75.5,121.22392391974665,2.5544464609800364,13.930127041742288,530000,1276.01,1240,15.361801403568426,23.543301880555003,35.27906076147838,25.462582528123317,12.4,1052.055220872886,32.68143650694243,38629,0.4128970883748771,20.97090895032526,5.742924101345133,59.9,81,45.56765163297045,26.429969089413834,78.2,83.4,20.7,7.17,7.42,7.06,3.7,21.4469,5.00814850538972,209.439187742245,Lab,0,97.91666666666666,0,38.3798508519983
E09000020,E09000020,Kensington and Chelsea,Inner London,156100,77910,1212.4012999999995,128.75274878045747,38.87545919767749,16.110397946084724,69.76893453145058,14.120667522464696,-1580.0,1059.0,1088.0,54.72510767671649,United States,4.977024752756084,France,4.197316087715649,Italy,2.724252910513145,30.658420356312536,27.955429206286965,7676,70.44722423619461,Italy,France,Spain,69.09246979144066,76.23172919131397,62.11315686384241,6.906235808695237,4.464285714285714,3.5999999999999996,9.7,15.882425707244197,6.766012675616018,62.12757088587209,45263,.,.,116350.0,31.078673493320874,143500,14.764565043894654,1.3104065456405012,12985,74.2,120.90440505417948,2.021822849807445,12.737483953786906,1195000,1077.58,600,22.641682380054473,15.149015294364132,29.118217054263567,33.09108527131783,15.1,1235.9912901745304,25.446749629166852,44536,0.5670775185902007,16.174600474651506,5.793069678144829,68.7,36,52.7424913835549,11.950625049139084,82.6,86.2,19,7.61,7.8,7.56,3.1,21.25,4.18018887926292,141.325516603902,Cons,74,24,2,29.814430677804566
E09000021,E09000021,Kingston upon Thames,Outer London,170900,66870,3726.1175999999996,45.86543376945484,36.90491733350207,18.95845523698069,68.11000585137508,12.931538911644235,-188.0,2136.0,1178.0,29.156821589205396,Sri Lanka,2.192927652130451,India,1.7743346245158065,Korea (South),1.427589653879795,26.952106243615166,16.424200514071735,3157,27.629724928015683,Bulgaria,Poland,Romania,75.00669272367082,81.56842350662626,68.50743352457414,5.309987257788127,2.77133281773653,3.9,6.9,13.83595320126328,3.25201072386059,57.79356568364611,36700,39359,30144,56920.0,42.70229616925318,82300,17.813765182186238,0.7293189773583234,8130,79.2,58.45569058653541,1.7702782711663707,11.07400828892836,385000,1674.65,260,27.730622544662058,38.862443724371296,10.708857855647636,22.418489949244403,36.4,752.3516937639502,46.29452094874312,70421,1.1065698706767861,21.05270598023753,2.928251306006945,68.6,33,31.22418879056047,8.887416021450306,81.3,84.5,15.8,7.34,7.68,7.41,3.29,15.362899999999998,4.85551121502373,147.821826470623,Cons,58.333333333333336,4.166666666666666,37.5,43.09528464683731
